      time        distance     velocity
     15.1142     4.344E+01     7.984E-04
     12.9182     4.210E+01     9.054E-04
      8.1314     4.037E+01     1.379E-03
     36.8114     5.858E+01     4.421E-04
     15.2014     4.612E+01     8.428E-04
     10.6032     4.246E+01     1.112E-03
    106.3872     7.133E+01     1.863E-04
     12.3433     4.266E+01     9.600E-04
     46.9163     5.843E+01     3.459E-04
     79.7675     6.522E+01     2.271E-04
     17.7051     4.929E+01     7.733E-04
     13.5499     4.505E+01     9.236E-04
      9.4197     3.672E+01     1.083E-03
      7.9847     3.711E+01     1.291E-03
     12.3589     4.137E+01     9.297E-04
      6.0692     3.884E+01     1.777E-03
     30.0490     5.619E+01     5.195E-04
     13.9616     4.393E+01     8.739E-04
      8.8338     3.659E+01     1.151E-03
      7.7581     3.671E+01     1.314E-03
     54.1921     6.266E+01     3.212E-04
      7.8956     3.720E+01     1.309E-03
     30.4011     5.260E+01     4.806E-04
     22.8991     5.407E+01     6.560E-04
     13.9991     4.100E+01     8.136E-04
      8.0021     3.644E+01     1.265E-03
     19.7295     4.393E+01     6.185E-04
     11.5008     4.052E+01     9.786E-04
     14.1455     4.423E+01     8.685E-04
      4.7255     3.485E+01     2.048E-03
     18.9756     4.802E+01     7.029E-04
     23.1559     3.787E+01     4.543E-04
     19.9415     5.105E+01     7.112E-04
     13.6295     4.894E+01     9.974E-04
      8.5870     3.695E+01     1.195E-03
     29.9539     6.615E+01     6.135E-04
     16.8209     4.565E+01     7.538E-04
     12.9699     4.759E+01     1.019E-03
      9.1615     3.672E+01     1.113E-03
     24.2031     3.780E+01     4.338E-04
      5.2611     3.596E+01     1.899E-03
     24.0456     4.846E+01     5.598E-04
     14.8805     4.351E+01     8.121E-04
      7.6249     3.441E+01     1.254E-03
      7.9580     3.545E+01     1.238E-03
     20.4830     4.271E+01     5.792E-04
     32.0954     4.887E+01     4.230E-04
     19.7508     4.309E+01     6.060E-04
     43.2785     4.965E+01     3.187E-04
     26.5462     3.817E+01     3.994E-04
     28.0598     5.584E+01     5.528E-04
     21.4298     5.171E+01     6.703E-04
      7.7568     3.499E+01     1.253E-03
     18.5938     5.058E+01     7.557E-04
     20.8980     4.994E+01     6.639E-04
      8.7168     3.963E+01     1.263E-03
     12.4132     4.514E+01     1.010E-03
      5.9700     3.546E+01     1.650E-03
     90.9346     5.794E+01     1.770E-04
     22.7986     5.410E+01     6.592E-04
      9.2459     4.165E+01     1.251E-03
     17.8366     4.487E+01     6.989E-04
    214.5593     6.402E+01     8.288E-05
     17.0955     4.046E+01     6.575E-04
     57.4963     5.639E+01     2.724E-04
     48.8376     6.015E+01     3.421E-04
     56.9315     5.239E+01     2.556E-04
      8.4353     3.380E+01     1.113E-03
     21.6598     5.028E+01     6.449E-04
      6.9017     3.484E+01     1.402E-03
     19.6010     5.200E+01     7.369E-04
      5.4806     3.540E+01     1.794E-03
     10.3616     3.812E+01     1.022E-03
     20.1474     3.975E+01     5.480E-04
      5.4857     3.478E+01     1.761E-03
     18.7747     5.086E+01     7.525E-04
      7.7179     3.604E+01     1.297E-03
      8.7608     3.639E+01     1.154E-03
      5.7042     3.506E+01     1.707E-03
      8.4439     3.618E+01     1.190E-03
     21.7024     5.032E+01     6.440E-04
     15.0757     4.091E+01     7.537E-04
     19.9673     4.970E+01     6.915E-04
     10.5059     3.695E+01     9.769E-04
     48.7970     5.890E+01     3.353E-04
     12.6788     4.408E+01     9.657E-04
     62.5799     5.454E+01     2.421E-04
     35.6771     5.107E+01     3.976E-04
     18.3110     4.831E+01     7.329E-04
     24.2031     3.780E+01     4.338E-04
     14.1973     4.487E+01     8.780E-04
     45.3688     6.117E+01     3.745E-04
     57.7317     6.472E+01     3.114E-04
     32.4102     6.014E+01     5.154E-04
     22.8644     5.291E+01     6.428E-04
     36.1591     5.776E+01     4.437E-04
     17.0494     4.255E+01     6.932E-04
     16.6519     4.550E+01     7.590E-04
     10.9271     3.660E+01     9.305E-04
     83.8611     5.292E+01     1.753E-04
     12.5907     4.338E+01     9.571E-04
     13.9108     3.845E+01     7.678E-04
     12.1579     3.846E+01     8.786E-04
      5.2671     3.417E+01     1.802E-03
     28.3448     5.532E+01     5.422E-04
     17.1193     4.840E+01     7.854E-04
     15.7797     4.100E+01     7.217E-04
     10.8812     4.269E+01     1.090E-03
      5.6521     3.782E+01     1.859E-03
     46.5453     4.392E+01     2.621E-04
      9.4078     3.252E+01     9.603E-04
     14.9698     5.247E+01     9.736E-04
     12.1677     4.296E+01     9.808E-04
     54.9586     6.096E+01     3.081E-04
      8.7503     3.861E+01     1.226E-03
     11.3585     4.613E+01     1.128E-03
     39.0825     6.166E+01     4.383E-04
     12.0292     3.691E+01     8.522E-04
      7.6656     3.989E+01     1.445E-03
     40.3328     5.770E+01     3.974E-04
     64.4875     6.438E+01     2.773E-04
     18.2033     5.041E+01     7.693E-04
     60.0908     5.242E+01     2.423E-04
     25.5143     5.554E+01     6.047E-04
     10.7611     3.524E+01     9.097E-04
     14.2972     3.890E+01     7.558E-04
      5.1844     3.473E+01     1.861E-03
      5.7206     3.490E+01     1.694E-03
     41.2755     4.810E+01     3.237E-04
     40.2260     4.725E+01     3.263E-04
     20.6020     4.678E+01     6.308E-04
      7.2977     3.586E+01     1.365E-03
     23.4956     5.461E+01     6.456E-04
     55.6869     5.189E+01     2.588E-04
     47.0635     5.092E+01     3.005E-04
     14.2713     4.452E+01     8.665E-04
     52.2062     5.928E+01     3.154E-04
     25.7870     3.772E+01     4.063E-04
     14.5325     3.932E+01     7.516E-04
     49.2480     4.917E+01     2.774E-04
      8.0957     3.525E+01     1.209E-03
      4.5910     3.701E+01     2.239E-03
     14.1875     4.446E+01     8.706E-04
     30.1673     4.679E+01     4.308E-04
      5.9233     3.539E+01     1.660E-03
     19.4427     5.237E+01     7.483E-04
     77.5636     6.588E+01     2.359E-04
     11.2729     4.567E+01     1.125E-03
      3.4990     3.405E+01     2.703E-03
     18.9157     3.803E+01     5.584E-04
     10.7772     4.237E+01     1.092E-03
      9.6839     4.217E+01     1.210E-03
    200.0243     4.946E+01     6.869E-05
      3.2817     3.314E+01     2.805E-03
     18.5762     5.008E+01     7.488E-04
     14.6448     4.539E+01     8.609E-04
     69.9398     5.336E+01     2.119E-04
     14.7181     4.447E+01     8.392E-04
     11.4614     3.663E+01     8.876E-04
      6.1824     3.673E+01     1.650E-03
     11.2023     4.242E+01     1.052E-03
     24.0792     5.107E+01     5.892E-04
      9.7403     3.644E+01     1.039E-03
     23.4920     5.051E+01     5.973E-04
     40.7376     5.155E+01     3.515E-04
      6.1635     3.390E+01     1.528E-03
      3.2541     3.375E+01     2.881E-03
     65.4549     5.298E+01     2.248E-04
     11.1121     3.842E+01     9.604E-04
     35.3937     5.746E+01     4.509E-04
     11.3488     3.909E+01     9.567E-04
     20.1275     5.228E+01     7.215E-04
      6.5777     3.680E+01     1.554E-03
      6.0936     3.903E+01     1.779E-03
     35.4445     4.878E+01     3.823E-04
     10.3971     3.696E+01     9.875E-04
      6.0936     3.903E+01     1.779E-03
      5.7249     3.512E+01     1.704E-03
     20.1060     3.772E+01     5.211E-04
     22.8777     3.795E+01     4.608E-04
      9.3813     3.605E+01     1.068E-03
     42.7652     6.148E+01     3.994E-04
     46.5453     4.392E+01     2.621E-04
      5.9273     3.532E+01     1.655E-03
      3.6991     3.423E+01     2.571E-03
      3.3983     3.369E+01     2.754E-03
      8.5342     3.613E+01     1.176E-03
     34.0304     5.545E+01     4.526E-04
     15.8334     4.270E+01     7.491E-04
    142.8351     4.788E+01     9.312E-05
     17.7607     4.285E+01     6.702E-04
     19.2841     4.472E+01     6.441E-04
     18.1085     4.151E+01     6.368E-04
     21.3485     4.963E+01     6.458E-04
     38.0890     5.027E+01     3.666E-04
     16.9864     4.205E+01     6.876E-04
     11.8948     4.294E+01     1.003E-03
     15.4882     4.501E+01     8.073E-04
     42.5989     5.772E+01     3.764E-04
     55.7939     6.794E+01     3.383E-04
    114.6946     4.709E+01     1.140E-04
     39.8409     4.713E+01     3.286E-04
     19.1250     4.659E+01     6.766E-04
     60.0908     5.242E+01     2.423E-04
     70.5974     6.131E+01     2.412E-04
      7.7373     3.683E+01     1.322E-03
     39.2142     5.554E+01     3.934E-04
     12.4593     3.943E+01     8.790E-04
     12.1412     4.295E+01     9.827E-04
     35.7310     5.600E+01     4.353E-04
     30.3852     5.182E+01     4.737E-04
      8.0925     3.829E+01     1.314E-03
      7.6775     4.026E+01     1.457E-03
     38.1995     5.622E+01     4.088E-04
      5.7409     4.000E+01     1.936E-03
     59.9537     5.719E+01     2.650E-04
      7.3712     3.600E+01     1.357E-03
      9.4087     3.856E+01     1.138E-03
      8.4237     3.847E+01     1.268E-03
      6.4466     3.553E+01     1.531E-03
      9.0102     3.927E+01     1.211E-03
      7.2101     3.557E+01     1.370E-03
      6.7808     3.652E+01     1.496E-03
      9.3002     4.284E+01     1.280E-03
     13.5266     4.659E+01     9.568E-04
      5.1018     3.355E+01     1.827E-03
      5.0237     3.695E+01     2.043E-03
      8.4130     3.262E+01     1.077E-03
