      time        distance     velocity
      1.6748     1.971E+01     3.270E-03
     13.1522     4.293E+01     9.068E-04
     13.6099     3.980E+01     8.124E-04
      2.6183     2.434E+01     2.583E-03
      1.8026     1.937E+01     2.985E-03
      2.9612     3.499E+01     3.283E-03
      2.7120     2.552E+01     2.614E-03
      1.2300     1.808E+01     4.083E-03
      0.5010     1.721E+01     9.543E-03
      2.0877     2.709E+01     3.604E-03
   1040.0203     5.955E+01     1.590E-05
   3346.5037     6.929E+01     5.751E-06
      1.9211     2.262E+01     3.271E-03
     16.4488     3.873E+01     6.541E-04
      2.7227     1.772E+01     1.807E-03
      2.7227     1.772E+01     1.807E-03
      5.6105     3.164E+01     1.566E-03
      2.5278     2.544E+01     2.796E-03
     10.3023     3.443E+01     9.283E-04
      4.9002     2.144E+01     1.215E-03
      2.1598     2.818E+01     3.624E-03
      9.2046     3.589E+01     1.083E-03
     19.5118     3.963E+01     5.642E-04
      5.5958     3.083E+01     1.530E-03
      8.0357     3.122E+01     1.079E-03
      4.1321     2.757E+01     1.853E-03
     12.1936     4.766E+01     1.086E-03
      2.2037     2.501E+01     3.152E-03
      2.0792     2.178E+01     2.909E-03
      2.9481     2.558E+01     2.410E-03
      3.6776     2.610E+01     1.971E-03
      6.5407     2.229E+01     9.465E-04
      1.5147     2.234E+01     4.096E-03
      5.4335     3.030E+01     1.549E-03
     42.8048     4.635E+01     3.008E-04
      3.9666     2.070E+01     1.450E-03
     10.4543     3.873E+01     1.029E-03
      4.5895     1.909E+01     1.155E-03
     18.9163     4.109E+01     6.034E-04
      4.1077     2.726E+01     1.844E-03
      0.5602     1.692E+01     8.388E-03
      2.7733     2.582E+01     2.586E-03
      2.4824     2.465E+01     2.758E-03
      5.1851     2.036E+01     1.091E-03
      2.2957     2.410E+01     2.916E-03
     15.5746     3.438E+01     6.132E-04
     14.4837     2.779E+01     5.329E-04
      1.4938     2.490E+01     4.630E-03
      2.7909     2.795E+01     2.782E-03
     25.9014     5.310E+01     5.695E-04
      0.5030     1.688E+01     9.320E-03
      1.0487     1.962E+01     5.197E-03
      1.3938     2.509E+01     5.001E-03
      1.0673     1.821E+01     4.740E-03
      2.7227     1.772E+01     1.807E-03
