 cum_prob         time          distance       velocity
 1.351E-04      4979.9863       200.3332       3.062E+01
 1.013E-02      2511.7148       158.8198       1.527E+01
 2.013E-02      1644.3922       151.2459       1.047E+01
 3.012E-02      1198.6726       145.1758       8.805E+00
 4.012E-02       996.7623       141.1918       8.068E+00
 5.011E-02       815.6080       137.6149       7.589E+00
 6.011E-02       702.1021       134.5130       7.202E+00
 7.011E-02       598.0516       131.8649       6.896E+00
 8.010E-02       498.4699       129.6546       6.653E+00
 9.010E-02       433.5709       127.8455       6.432E+00
 1.001E-01       373.3993       126.2925       6.249E+00
 1.101E-01       331.5063       123.9985       6.042E+00
 1.201E-01       301.7212       121.9689       5.835E+00
 1.301E-01       275.9012       119.7583       5.698E+00
 1.401E-01       252.4680       117.5431       5.573E+00
 1.501E-01       231.5152       115.4716       5.429E+00
 1.601E-01       213.6797       113.5679       5.274E+00
 1.701E-01       194.9777       111.4210       5.111E+00
 1.801E-01       174.4663       109.7651       4.984E+00
 1.901E-01       161.5433       108.0939       4.867E+00
 2.001E-01       148.2091       106.6944       4.765E+00
 2.100E-01       138.5846       105.3988       4.655E+00
 2.200E-01       131.4347       104.1168       4.546E+00
 2.300E-01       123.5894       103.0359       4.445E+00
 2.400E-01       117.0033       101.7334       4.363E+00
 2.500E-01       109.5810       100.7074       4.257E+00
 2.600E-01       102.4396        99.8251       4.159E+00
 2.700E-01        96.4665        98.8526       4.056E+00
 2.800E-01        90.5908        98.0981       3.945E+00
 2.900E-01        85.7756        97.1516       3.870E+00
 3.000E-01        80.6336        96.3241       3.786E+00
 3.100E-01        76.2159        95.4196       3.718E+00
 3.200E-01        72.2505        94.6150       3.627E+00
 3.300E-01        69.3272        93.8111       3.545E+00
 3.400E-01        65.4472        93.0755       3.466E+00
 3.500E-01        62.4536        92.2066       3.386E+00
 3.600E-01        59.6599        91.5599       3.298E+00
 3.700E-01        57.1381        90.7764       3.210E+00
 3.800E-01        55.1301        90.1068       3.121E+00
 3.900E-01        53.1836        89.3960       3.055E+00
 4.000E-01        51.1514        88.6304       2.988E+00
 4.100E-01        49.1155        88.0199       2.904E+00
 4.200E-01        47.3744        87.3820       2.837E+00
 4.300E-01        45.7986        86.7916       2.771E+00
 4.400E-01        43.9364        86.2453       2.711E+00
 4.500E-01        42.3084        85.6459       2.640E+00
 4.599E-01        40.6633        85.0363       2.581E+00
 4.699E-01        39.3606        84.4534       2.517E+00
 4.799E-01        38.1859        83.8587       2.453E+00
 4.899E-01        36.9283        83.3534       2.390E+00
 4.999E-01        35.6217        82.6540       2.323E+00
 5.099E-01        34.5094        81.9683       2.265E+00
 5.199E-01        33.3608        81.2594       2.201E+00
 5.299E-01        32.1690        80.7596       2.142E+00
 5.399E-01        31.1904        80.0846       2.084E+00
 5.499E-01        29.9170        79.4357       2.024E+00
 5.599E-01        29.0778        78.8509       1.958E+00
 5.699E-01        28.3011        78.3341       1.910E+00
 5.799E-01        27.4309        77.8393       1.844E+00
 5.899E-01        26.6036        77.3041       1.791E+00
 5.999E-01        25.7794        76.7412       1.734E+00
 6.099E-01        24.9963        76.1512       1.682E+00
 6.199E-01        24.3377        75.6006       1.619E+00
 6.299E-01        23.5399        75.0014       1.582E+00
 6.399E-01        22.7980        74.4584       1.528E+00
 6.499E-01        22.0489        74.0811       1.464E+00
 6.599E-01        21.4507        73.4882       1.416E+00
 6.699E-01        20.8162        72.9567       1.366E+00
 6.799E-01        20.1760        72.3478       1.300E+00
 6.899E-01        19.6165        71.7866       1.240E+00
 6.999E-01        19.0850        71.2832       1.185E+00
 7.098E-01        18.5293        70.7463       1.132E+00
 7.198E-01        17.9358        70.2974       1.083E+00
 7.298E-01        17.4041        69.8192       1.027E+00
 7.398E-01        16.9009        69.3541       9.753E-01
 7.498E-01        16.4908        68.9000       9.405E-01
 7.598E-01        16.0775        68.4347       8.952E-01
 7.698E-01        15.6029        67.7699       8.507E-01
 7.798E-01        15.1801        67.2690       8.018E-01
 7.898E-01        14.7413        66.8906       7.442E-01
 7.998E-01        14.3428        66.3801       7.021E-01
 8.098E-01        13.9627        65.7843       6.591E-01
 8.198E-01        13.6205        65.2193       6.204E-01
 8.298E-01        13.2294        64.6033       5.689E-01
 8.398E-01        12.7895        64.0352       5.178E-01
 8.498E-01        12.3197        63.4224       4.806E-01
 8.598E-01        11.9707        62.7410       4.515E-01
 8.698E-01        11.5221        62.0558       4.119E-01
 8.798E-01        11.0795        61.3400       3.760E-01
 8.898E-01        10.5813        60.5262       3.456E-01
 8.998E-01        10.1951        59.7274       3.045E-01
 9.098E-01         9.8454        58.8237       2.716E-01
 9.198E-01         9.4154        58.0123       2.366E-01
 9.298E-01         8.9104        57.2155       2.074E-01
 9.398E-01         8.4739        56.4085       1.819E-01
 9.498E-01         7.9989        55.4939       1.544E-01
 9.597E-01         7.5096        54.4512       1.266E-01
 9.697E-01         6.9733        53.1265       1.017E-01
 9.797E-01         5.8706        51.7362       7.169E-02
 9.897E-01         4.0535        49.3772       4.902E-02
 9.997E-01         1.8767        45.5233       2.202E-02
