 Q       5m     10m     15m     20m     25m     30m     35m     40m     45m
0.01    4.47    9.86   15.23   20.54   25.74   31.42   36.81   42.58   49.32
0.05    4.47   10.58   16.31   21.89   27.97   34.36   40.82   47.41   55.47
0.10    4.91   11.13   17.30   23.29   30.20   37.10   43.81   50.65   59.68
0.20    5.05   12.12   19.60   26.30   33.65   41.18   48.99   56.96   66.37
0.30    5.18   13.22   21.44   28.95   36.61   44.79   53.53   62.55   71.27
0.40    5.26   14.70   23.16   31.37   39.67   48.58   57.91   67.23   76.74
0.50    5.33   16.33   25.30   34.61   42.71   52.15   62.51   72.16   82.65
0.60    5.33   18.82   28.12   38.43   46.53   56.68   67.89   78.05   88.63
0.70    5.42   21.44   30.70   42.70   51.80   62.75   75.11   86.07   96.30
0.80    5.42   24.87   34.17   48.47   59.49   72.27   84.81   94.97  106.65
0.90    5.42   35.46   43.47   63.17   77.99   88.48   99.40  110.24  126.29
0.95    5.51   58.27   57.90   88.88   95.86  107.41  116.06  124.17  137.61
0.99    7.98  108.82   95.49  123.43  133.74  138.12  142.26  147.78  158.82
