 cum_prob         time          distance       velocity
 1.982E-04      2058.2988       123.5931       4.187E+00
 1.011E-02       516.2938        95.0241       2.740E+00
 2.002E-02       362.6789        90.8633       2.542E+00
 2.993E-02       287.3686        88.2022       2.428E+00
 3.984E-02       243.7517        86.5373       2.352E+00
 4.975E-02       221.0701        84.7119       2.284E+00
 5.966E-02       201.4180        83.4406       2.217E+00
 6.957E-02       188.2650        81.8652       2.163E+00
 7.948E-02       175.2754        80.6540       2.108E+00
 8.940E-02       166.5236        79.8983       2.066E+00
 9.931E-02       158.5236        79.1034       2.022E+00
 1.092E-01       151.6376        78.5069       1.983E+00
 1.191E-01       143.9409        77.7153       1.916E+00
 1.290E-01       139.6394        76.9813       1.854E+00
 1.389E-01       134.8239        76.3320       1.810E+00
 1.489E-01       130.9889        75.8049       1.781E+00
 1.588E-01       125.9389        75.0384       1.744E+00
 1.687E-01       120.7796        74.5843       1.715E+00
 1.786E-01       116.8736        73.9727       1.673E+00
 1.885E-01       113.3236        73.4683       1.648E+00
 1.984E-01       109.6142        72.8879       1.617E+00
 2.083E-01       106.9632        72.3926       1.597E+00
 2.182E-01       104.4915        71.9287       1.571E+00
 2.281E-01       101.8833        71.4945       1.550E+00
 2.381E-01        98.9140        70.9477       1.525E+00
 2.480E-01        96.5991        70.6613       1.493E+00
 2.579E-01        94.7831        70.3350       1.470E+00
 2.678E-01        92.7854        69.9934       1.448E+00
 2.777E-01        90.7205        69.6159       1.424E+00
 2.876E-01        88.8895        69.2051       1.405E+00
 2.975E-01        87.0002        68.8073       1.383E+00
 3.074E-01        84.8377        68.4878       1.361E+00
 3.173E-01        82.9125        68.1565       1.330E+00
 3.273E-01        81.3858        67.8121       1.307E+00
 3.372E-01        79.7940        67.4978       1.293E+00
 3.471E-01        78.3719        67.1476       1.277E+00
 3.570E-01        76.9447        66.8756       1.265E+00
 3.669E-01        75.9478        66.5976       1.243E+00
 3.768E-01        74.7250        66.3452       1.222E+00
 3.867E-01        73.2953        66.0776       1.209E+00
 3.966E-01        71.6636        65.8118       1.193E+00
 4.065E-01        70.0161        65.5354       1.183E+00
 4.165E-01        69.2187        65.2654       1.169E+00
 4.264E-01        68.1257        65.0078       1.155E+00
 4.363E-01        67.3404        64.7628       1.142E+00
 4.462E-01        66.0458        64.5795       1.131E+00
 4.561E-01        65.1197        64.3407       1.117E+00
 4.660E-01        64.0692        64.1189       1.105E+00
 4.759E-01        62.9168        63.8848       1.093E+00
 4.858E-01        61.8798        63.6105       1.084E+00
 4.957E-01        60.8712        63.3889       1.071E+00
 5.056E-01        59.9317        63.1401       1.057E+00
 5.156E-01        59.2961        62.8983       1.045E+00
 5.255E-01        58.4501        62.6822       1.034E+00
 5.354E-01        57.4970        62.4885       1.023E+00
 5.453E-01        56.6391        62.2073       1.006E+00
 5.552E-01        55.8842        61.9441       9.966E-01
 5.651E-01        55.1349        61.6998       9.833E-01
 5.750E-01        54.3837        61.4759       9.708E-01
 5.849E-01        53.6480        61.2932       9.594E-01
 5.948E-01        52.8408        61.1058       9.463E-01
 6.048E-01        52.0206        60.9012       9.298E-01
 6.147E-01        51.1750        60.6892       9.157E-01
 6.246E-01        50.5365        60.4523       9.034E-01
 6.345E-01        49.8665        60.2267       8.904E-01
 6.444E-01        49.0993        60.0266       8.754E-01
 6.543E-01        48.2236        59.8616       8.599E-01
 6.642E-01        47.2449        59.7155       8.433E-01
 6.741E-01        46.5264        59.5076       8.272E-01
 6.840E-01        45.6565        59.3276       8.155E-01
 6.940E-01        44.6768        59.1673       8.028E-01
 7.039E-01        43.7703        59.0023       7.901E-01
 7.138E-01        43.0309        58.7891       7.753E-01
 7.237E-01        42.0330        58.5857       7.604E-01
 7.336E-01        41.1521        58.4463       7.463E-01
 7.435E-01        40.2344        58.2608       7.346E-01
 7.534E-01        39.2753        58.0175       7.224E-01
 7.633E-01        38.4221        57.8026       7.093E-01
 7.732E-01        37.4515        57.5840       6.957E-01
 7.832E-01        36.7695        57.4029       6.821E-01
 7.931E-01        35.9690        57.2247       6.680E-01
 8.030E-01        35.4395        57.0026       6.515E-01
 8.129E-01        34.6918        56.7901       6.326E-01
 8.228E-01        34.0379        56.5569       6.169E-01
 8.327E-01        33.2540        56.3032       6.001E-01
 8.426E-01        32.5157        55.9388       5.892E-01
 8.525E-01        31.9106        55.6350       5.725E-01
 8.624E-01        31.0512        55.4264       5.544E-01
 8.723E-01        30.2363        55.2271       5.336E-01
 8.823E-01        29.2330        54.9310       5.078E-01
 8.922E-01        28.2183        54.6004       4.882E-01
 9.021E-01        27.5643        54.3378       4.620E-01
 9.120E-01        26.8015        54.0227       4.412E-01
 9.219E-01        25.9297        53.7244       4.214E-01
 9.318E-01        25.1095        53.4184       3.966E-01
 9.417E-01        24.2135        52.9204       3.765E-01
 9.516E-01        23.3491        52.4582       3.464E-01
 9.615E-01        22.6222        51.9319       3.106E-01
 9.715E-01        21.8292        51.1610       2.700E-01
 9.814E-01        20.9937        50.1228       2.208E-01
 9.913E-01        18.9912        48.9818       1.400E-01
