 Q       5m     10m     15m     20m     25m     30m     35m     40m     45m
0.01    4.39   11.19   16.70   21.95   27.49   33.16   38.46   43.88   49.12
0.05    5.21   11.83   17.42   22.90   28.67   34.42   39.98   45.90   52.51
0.10    5.88   12.25   18.00   23.56   29.41   35.50   41.28   47.52   54.38
0.20    6.86   12.92   18.79   24.55   30.86   37.60   43.37   49.96   57.04
0.30    7.63   13.37   19.57   25.63   32.70   39.36   45.25   52.20   59.07
0.40    7.63   13.94   20.40   27.20   34.53   41.04   47.03   54.12   61.00
0.50    7.68   14.63   21.68   29.06   36.62   43.14   48.89   56.15   63.29
0.60    7.77   16.51   23.54   31.85   39.21   45.36   51.09   58.51   65.72
0.70    7.77   19.18   25.89   34.60   42.13   48.18   54.18   61.40   68.70
0.80    7.87   21.12   28.69   38.40   45.86   52.13   58.85   65.53   72.82
0.90    8.09   25.93   32.40   43.11   51.40   58.78   66.22   72.38   79.05
0.95    8.68   28.61   34.69   47.28   57.60   64.98   72.51   78.23   84.64
0.99   31.59   34.55   56.77   59.52   70.34   79.40   84.78   89.65   95.02
